log,advertiser_id,product_id
2023-04-23,03KNVBO915KY2ZPGA57J,1f2p9m
2023-04-23,03KNVBO915KY2ZPGA57J,shnowt
2023-04-23,03KNVBO915KY2ZPGA57J,dbghr1
2023-04-23,03KNVBO915KY2ZPGA57J,y00kkd
2023-04-23,03KNVBO915KY2ZPGA57J,3ge0c4
2023-04-23,03KNVBO915KY2ZPGA57J,4xbwqh
2023-04-23,03KNVBO915KY2ZPGA57J,59zz7y
2023-04-23,03KNVBO915KY2ZPGA57J,5vpluf
2023-04-23,03KNVBO915KY2ZPGA57J,8y4tny
2023-04-23,03KNVBO915KY2ZPGA57J,n6sqm9
2023-04-23,03KNVBO915KY2ZPGA57J,oq33s7
2023-04-23,03KNVBO915KY2ZPGA57J,pnad1b
2023-04-23,03KNVBO915KY2ZPGA57J,q21r4u
2023-04-23,03KNVBO915KY2ZPGA57J,qd5esu
2023-04-23,03KNVBO915KY2ZPGA57J,vetfwf
2023-04-23,03KNVBO915KY2ZPGA57J,vq3lx5
2023-04-23,03KNVBO915KY2ZPGA57J,xczd1x
2023-04-23,03KNVBO915KY2ZPGA57J,xljrz2
2023-04-23,03KNVBO915KY2ZPGA57J,0zmyxz
2023-04-23,03KNVBO915KY2ZPGA57J,16n8be
2023-04-23,1OW4LWJSBJK6E1D9FDH7,2w7847
2023-04-23,1OW4LWJSBJK6E1D9FDH7,709lj0
2023-04-23,1OW4LWJSBJK6E1D9FDH7,74z2zi
2023-04-23,1OW4LWJSBJK6E1D9FDH7,2v3tqb
2023-04-23,1OW4LWJSBJK6E1D9FDH7,4du29j
2023-04-23,1OW4LWJSBJK6E1D9FDH7,6whgk0
2023-04-23,1OW4LWJSBJK6E1D9FDH7,7u3jyi
2023-04-23,1OW4LWJSBJK6E1D9FDH7,9wpzc0
2023-04-23,1OW4LWJSBJK6E1D9FDH7,a1elzo
2023-04-23,1OW4LWJSBJK6E1D9FDH7,a8hf9j
2023-04-23,1OW4LWJSBJK6E1D9FDH7,pil42t
2023-04-23,1OW4LWJSBJK6E1D9FDH7,r69hr6
2023-04-23,1OW4LWJSBJK6E1D9FDH7,rf1v3i
2023-04-23,1OW4LWJSBJK6E1D9FDH7,yfehwl
2023-04-23,1OW4LWJSBJK6E1D9FDH7,023w1n
2023-04-23,1OW4LWJSBJK6E1D9FDH7,0h9t7v
2023-04-23,1OW4LWJSBJK6E1D9FDH7,0xfk8v
2023-04-23,1OW4LWJSBJK6E1D9FDH7,1izb9n
2023-04-23,1OW4LWJSBJK6E1D9FDH7,2qso2x
2023-04-23,1OW4LWJSBJK6E1D9FDH7,3540l5
2023-04-23,2WPF1NXECF3G6NUMWDO7,5gipgm
2023-04-23,2WPF1NXECF3G6NUMWDO7,f9jep9
2023-04-23,2WPF1NXECF3G6NUMWDO7,s2vf7b
2023-04-23,2WPF1NXECF3G6NUMWDO7,1gegxk
2023-04-23,2WPF1NXECF3G6NUMWDO7,1za6l5
2023-04-23,2WPF1NXECF3G6NUMWDO7,3lh107
2023-04-23,2WPF1NXECF3G6NUMWDO7,3oe469
2023-04-23,2WPF1NXECF3G6NUMWDO7,4l9sze
2023-04-23,2WPF1NXECF3G6NUMWDO7,8rxcdk
2023-04-23,2WPF1NXECF3G6NUMWDO7,9cgdv8
2023-04-23,2WPF1NXECF3G6NUMWDO7,hc9qdl
2023-04-23,2WPF1NXECF3G6NUMWDO7,jcok02
2023-04-23,2WPF1NXECF3G6NUMWDO7,np11o4
2023-04-23,2WPF1NXECF3G6NUMWDO7,nxm2xm
2023-04-23,2WPF1NXECF3G6NUMWDO7,okk6di
2023-04-23,2WPF1NXECF3G6NUMWDO7,rpt2cj
2023-04-23,2WPF1NXECF3G6NUMWDO7,xp48rq
2023-04-23,2WPF1NXECF3G6NUMWDO7,01mgr3
2023-04-23,2WPF1NXECF3G6NUMWDO7,1ch7g8
2023-04-23,2WPF1NXECF3G6NUMWDO7,2bnen4
2023-04-23,5E325T5HYL61QSABVR5V,pqv6p0
2023-04-23,5E325T5HYL61QSABVR5V,61f3tt
2023-04-23,5E325T5HYL61QSABVR5V,7ej5gu
2023-04-23,5E325T5HYL61QSABVR5V,7l5x6q
2023-04-23,5E325T5HYL61QSABVR5V,asrduk
2023-04-23,5E325T5HYL61QSABVR5V,av9ue3
2023-04-23,5E325T5HYL61QSABVR5V,emmsjb
2023-04-23,5E325T5HYL61QSABVR5V,iz738g
2023-04-23,5E325T5HYL61QSABVR5V,jhkyzg
2023-04-23,5E325T5HYL61QSABVR5V,ntsah2
2023-04-23,5E325T5HYL61QSABVR5V,p2xx7r
2023-04-23,5E325T5HYL61QSABVR5V,t9kv9i
2023-04-23,5E325T5HYL61QSABVR5V,w3zjm2
2023-04-23,5E325T5HYL61QSABVR5V,xzal1j
2023-04-23,5E325T5HYL61QSABVR5V,1dt44d
2023-04-23,5E325T5HYL61QSABVR5V,3vt5di
2023-04-23,5E325T5HYL61QSABVR5V,4ykxyt
2023-04-23,5E325T5HYL61QSABVR5V,5zw3zm
2023-04-23,5E325T5HYL61QSABVR5V,67vcf8
2023-04-23,5E325T5HYL61QSABVR5V,75i10f
2023-04-23,6X20RDH567MX2X3TXYJ7,d8wxmv
2023-04-23,6X20RDH567MX2X3TXYJ7,g19nve
2023-04-23,6X20RDH567MX2X3TXYJ7,o2b384
2023-04-23,6X20RDH567MX2X3TXYJ7,3k4wti
2023-04-23,6X20RDH567MX2X3TXYJ7,7ers2m
2023-04-23,6X20RDH567MX2X3TXYJ7,brpoc1
2023-04-23,6X20RDH567MX2X3TXYJ7,g55fx4
2023-04-23,6X20RDH567MX2X3TXYJ7,j6rdgr
2023-04-23,6X20RDH567MX2X3TXYJ7,mvovi4
2023-04-23,6X20RDH567MX2X3TXYJ7,nozjco
2023-04-23,6X20RDH567MX2X3TXYJ7,oediqm
2023-04-23,6X20RDH567MX2X3TXYJ7,or5lid
2023-04-23,6X20RDH567MX2X3TXYJ7,rbtmui
2023-04-23,6X20RDH567MX2X3TXYJ7,w0tk8o
2023-04-23,6X20RDH567MX2X3TXYJ7,x65dzf
2023-04-23,6X20RDH567MX2X3TXYJ7,0nw219
2023-04-23,6X20RDH567MX2X3TXYJ7,3o5tyo
2023-04-23,6X20RDH567MX2X3TXYJ7,5drttp
2023-04-23,6X20RDH567MX2X3TXYJ7,5epf09
